project_id,project_name,sector,implementing_agency,approved_cost_cr,planned_commissioning_date,reported_completion_expenditure_cr,completion_date,financial_year,source_url
240106218,"DEESA TO RADHANPUR (PACK.-VI) PHASE-II, KM.372.60-458,",Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,399.89,2005-02-01,479.0,2008-10-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106252,SHIVPURI BYPASS & UPTO MP/RJ BORDER (EW-2-MP-1) NH-25,Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,360.34,2008-02-01,322.7,2008-10-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106253,"RAJASTHAN/MP BORDER TO KOTA(RJ-11) NH-76, KM.579 TO",Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,311.35,2008-03-01,349.0,2008-10-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N24000043,SILLIGURI TO ISLAMPUR (WB-6)(NATIONAL HIGHWAYS,Not Reported,NATIONAL HIGHWAYS                         155.00      10/2008               210.70 AUTHORITY OF INDIA,155.0,2008-10-01,210.7,2008-10-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N16000019,PANIPAT-JALANDHAR LPG PIPELINE(INDIAN OIL,Not Reported,INDIAN OIL                              186.72      08/2008               138.70 CORPORATION LIMITED,186.72,2008-08-01,138.7,2008-11-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106269,"JHANSI-SIVPURI (EW-II)(NHAI) NH-25, KM.50 TO KM.15, NH-",Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,213.69,2008-02-01,158.5,2008-11-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
180100249,KAHALGOAN-II(PH.-II) TRANSMISSION SYSTEM,Not Reported,POWER GRID CORPORATION OF INDIA LIMITED,464.02,2007-10-01,469.14,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106233,KOTA TO CHITTORGARH (RJ-7) NH-76 KM.316 TO,Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,440.5,2008-04-01,387.4,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106234,KOTA TO CHITTORGARH (RJ-8) NH-76 KM.381 TO,Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,446.4,2008-04-01,375.7,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N24000064,"CHITTORGARH BYPASS,KM 253-213 NH-76(NATIONAL",Not Reported,NATIONAL                          384.25      04/2008               342.10 HIGHWAYS AUTHORITY OF INDIA,384.25,2008-04-01,342.1,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
