project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk,risk_probability,predicted_cost_p10,predicted_cost_p50,predicted_cost_p90,predicted_delay_p10,predicted_delay_p50,predicted_delay_p90,model_confidence_percentage
,PHALODI -JAISALMER SECTION OF NH-15 TO TWO/FOUR LANE WITH,Road Transport And Highways,Not reported,2018,2019-04-30,567.51,421.6,-31.87697004696701,-25.710560166340674,-6.166409880626336,349.3112827676491,425.0,-75.68871723235088,2,2,0.418886197312141,-59.03159844623052,-13.960437617671854,-5.106477219850579,-584.9312481167207,420.36212415202965,2271.699226154529,83.33
,2 LANING OF SHILLONG NONGSTOIN SECTION OF NH 44 AND,Shoulders Configuration Of Pratapgarh-Padi (Ministry,Not reported,2011,2019-05-31,1494.48,2158.5,-10.0400058758546,44.43150794925325,-54.47151382510785,1017.5083472376439,3041.0,-2023.4916527623561,3,3,0.3208745825875682,-46.04421705611647,-10.41670462527014,40.700986544261355,-392.6133112954368,245.22452316266137,4506.47425036667,83.33
,ALLAHABAD TO UP/MP BORDER SECTION OF NH-27 IN UTTAR,Nongstoin Tura State Road Under Phase A Of Sa Item,Not reported,2018,2019-05-31,774.57,613.58,-11.350230331843152,-20.784435235033634,9.434204903190482,437.09880399513116,456.0,-18.901196004868837,3,2,0.2639678782275998,-38.34304553145963,-8.946703593141235,33.95898690945657,-406.2054954681256,255.4735459313139,4091.359653461655,83.33
,JORBAT - BARAPANI,Road Transport And Highways,Not reported,2014,2019-05-31,536.0,845.41,-37.20396732221654,57.72574626865671,-94.92971359087325,349.3112827676491,1976.0,-1626.6887172323509,2,3,0.4223876219135122,-59.33624814366877,-16.54800882493656,-4.459584418034403,-576.9452905219375,416.3691453546381,2279.6851837493123,83.33
,REHABILATION AND UPGRADATION OF NH-222(61) FOM KM 284 TO,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2016,2019-05-31,260.39,188.0,-21.527199001353885,-27.800606782134484,6.273407780780598,440.57108980011935,941.0,-500.42891019988065,2,3,0.5314771974453742,-55.680914213373924,-17.468462502550903,103.45231977842,-466.7474927775909,278.9601053170088,3286.4048079397944,83.33
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Lanes With Paved Side Shoulders Of Faridkot-Ko Epc() -,Not reported,2014,2019-05-31,377.64,755.28,-18.890582980793056,100.0,-118.89058298079306,764.4828872698024,1917.0,-1152.5171127301976,2,3,0.4790874226966307,-67.7793534568633,-18.823339219919927,92.23214163470666,-464.5269623529047,276.9583890391032,3251.147509431644,83.33
,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED,Shoulders Configuration And Strengthening Of Anish,Not reported,2014,2019-05-31,322.01,267.0,-20.773122509606857,-17.08332039377659,-3.6898021158302683,900.0887276012854,1764.0,-863.9112723987146,2,3,0.5279019586327449,-62.282647908175406,-19.13546585302476,110.83492672217025,-465.4236941898969,277.47217148399204,3180.8667038264502,83.33
,SHAHDOL TO ANUPPUR-MP/CHATTISGARH BORDER SECTION OF NH-,Pradesh                             Epc(Ministry Of Road,Not reported,2017,2019-05-31,532.49,386.02,-13.062651040755087,-27.506619842626158,14.44396880187107,513.2300738639938,760.0,-246.76992613600623,2,3,0.32255308448534314,-24.966126956763294,-13.130412901786901,36.20721262892208,-450.03920537346886,277.415944413673,4011.1607264067643,83.33
,TWO LANING OF HOJ POTIN SECTION OF NH 229 (19.06 KM) IN,Rate(Ministry Of Road Transport And Highways (State,Not reported,2010,2019-05-31,165.0,174.57,-8.171348366843283,5.799999999999996,-13.97134836684328,518.9606293605593,3194.0,-2675.0393706394407,2,3,0.46069869833367416,-47.74885007350258,-14.101092476007985,130.2394532158233,-305.6516172982392,290.27963472580484,3779.501479122317,83.33
,TWO LANING OF YUPIA - HOJ SECTION (20.40 KM) IN ARUNACHAL,Arunachal Pradesh Under Arunachal Pradesh Pa Item,Not reported,2010,2019-05-31,104.0,218.29,-10.68533591759858,109.89423076923077,-120.57956668682935,1658.169528721034,3194.0,-1535.830471278966,1,3,0.36125524957475286,-37.60331098440864,-6.0104883533678874,191.80582004311302,-171.53128204973268,396.22791142855544,5113.105277014894,83.33
,GONDA - BAHRAICH (60 KIMS.) OF GONDA-BAHRAICH-SITAPUR-,Chandigarh                        (Northern Railway) -,Not reported,1999,2019-06-30,233.0,349.37,-15.640237389708375,49.94420600858369,-65.58444339829207,297.851486339487,7395.0,-7097.148513660513,2,3,0.5080781153093709,-56.85521251091035,-15.337900822514754,112.33463086582394,-445.0417632507602,268.2135824573957,3408.0351478370444,83.33
,WIDENING TO 2L FROM 228/70 TO 258/70 AND 286/70 TO 327/70 OF VR,Road Transport And Highways,Not reported,2015,2019-08-31,229.29,163.4,-34.043699998227076,-28.73653451960399,-5.307165478623087,226.61322360232379,1399.0,-1172.3867763976762,2,3,0.5303528683144983,-63.53551894622578,-22.443279010997156,-0.7517363727843751,-244.1028274417368,295.020983121583,1170.0049828105282,83.33
,"FIELD DEVELOPMENT OF NELP BLOCK KG-ONN-2003,",Barauni Refinery                      (Indian Oil Corporation,Not reported,2018,2019-10-31,420.76,239.45,-17.566128772908183,-43.09107329594068,25.5249445230325,591.9283042242764,425.0,166.92830422427642,2,2,0.4769391786569953,-69.07061403930453,-18.13420561491211,88.5703913760542,-474.22143295435677,281.7741720759406,3230.8807917257077,83.33
,FUEL QUALITY UPGRADATION (DHDT/PRIME G) PROJECT AT,Petroleum,Not reported,2018,2019-10-31,822.66,822.02,-12.442928146153422,-0.07779641650256319,-12.365131729650859,502.1747898367848,364.0,138.17478983678478,1,1,0.3650586269205325,-30.776861081721254,-6.249795175765296,12.892502072600365,-343.5561883777232,351.6438021813756,1296.0360110733313,83.33
