project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk,risk_probability,predicted_cost_p10,predicted_cost_p50,predicted_cost_p90,predicted_delay_p10,predicted_delay_p50,predicted_delay_p90,model_confidence_percentage
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Epc Mode                         Epc(Ministry Of Road,Not reported,2016,2023-02-28,171.96,108.0,-7.667056895732006,-37.1946964410328,29.52763954530079,511.5849621612733,2463.0,-1951.4150378387267,2,3,0.4873557199163572,-46.19952806678501,-14.634303746879496,131.11497826049862,-321.83380258500864,286.7848241080556,3661.4135603442305,83.33
,WIDNG WITH PS AND STRNG FROM KM.0.00 TO 50.675 OF NH-730A,Pkg-I)                         (National Highways Authority Of,Not reported,2015,2023-02-28,164.54,141.33,-8.171348366843283,-14.105992463838568,5.934644096995285,518.9606293605593,2768.0,-2249.0393706394407,2,3,0.46069869833367416,-47.74885007350258,-14.101092476007985,130.2394532158233,-305.6516172982392,290.27963472580484,3779.501479122317,83.33
,FOUR LANING OF TRICHY TO KALLAGAM SECTION ON NH-227 IN THE,Road Transport And Highways,Not reported,2021,2023-03-31,1166.26,444.08,-36.524485216408706,-61.92272735067653,25.398242134267825,260.0793066016722,788.0,-527.9206933983278,2,3,0.36857245767987273,-55.454079796682635,-18.674056367567132,-8.519185006098077,-497.3761267424235,368.5379572363046,2646.5981934842152,83.33
,ETHANOL PRODUCTION FROM PSA OFF GAS BASED ON LANZATECH,Facilities At Baitalpur Depot For                (Indian Oil,Not reported,2020,2023-04-30,598.0,679.2,-5.370412265381366,13.57859531772576,-18.949007583107125,828.637913865803,1184.0,-355.36208613419706,2,3,0.3136469754623431,-40.25376342891464,-8.790465399023649,36.377475639701174,-481.2352107616286,293.0139471077528,3991.464633615682,83.33
,REVAMPING OF EXISTING FACILITIES/ AUGMENTATION OF,Petroleum,Not reported,2021,2023-04-30,318.8,224.25,-18.81690237339187,-29.65809284818068,10.84119047478881,693.9364191588354,637.0,56.936419158835406,0,2,0.2932246451501075,-65.75837646180355,-16.52967517276807,14.332181143672582,-550.5714554952764,418.3914769556146,1601.522645468629,83.33
,KAILASHAHAR TO KHOWAI PKG-2,Highways And Infrastructure Development Corporation,Not reported,2022,2023-05-31,206.78,197.72,-16.13092366028059,-4.3814682271012675,-11.749455433179323,308.7544325415277,334.0,-25.245567458472294,2,1,0.4575123687163955,-53.930556123446905,-15.901708162693975,126.02203045494753,-370.24319414643514,258.73514315121076,3662.180268927258,83.33
,DOUBLING OF TRACK BETWEEN GOOTY AND DHARMAVARAM OF,Railways,Not reported,2021,2023-06-30,636.38,1081.75,16.153126452894842,69.98491467362268,-53.831788220727844,541.4139766152614,851.0,-309.5860233847386,0,3,0.477281974797476,-3.6301251538085424,5.879641577714008,22.07747804033403,-244.53380282590672,376.8648303461131,2068.292042876797,83.33
,CONSTRUCTION OF A NEW 2-LANE HIGHWAY FROM KM 0.00 (ON NH-,Rate(Ministry Of Road Transport And Highways (State,Not reported,2010,2023-08-31,195.04,415.11,-13.470885652428333,112.83326497128796,-126.3041506237163,317.8271908594389,4717.0,-4399.172809140561,2,3,0.46788986172167935,-51.8759758352434,-15.73228926050735,127.70570885091146,-385.47389809563174,266.65297162104434,3614.9428309918685,83.33
,REHABILITATION AND UPGRADATION TO 2-LANE WITH PAVED,Rate(Ministry Of Road Transport And Highways (State,Not reported,2019,2023-08-31,396.86,325.22,-16.532672451244213,-18.05170589124628,1.5190334400020653,371.8757066426936,1460.0,-1088.1242933573064,2,3,0.48166947100178825,-68.53003466205371,-18.25888269323345,91.59240318938159,-464.68161149870673,277.02912616246726,3251.006035184915,83.33
,WIDENING TO 2LPS FROM 173/37 TO 229/40 OF NH-59 IN THE STATE,To Boudh) In The State Of Odisha        (Ministry Of Road,Not reported,2018,2023-08-31,214.23,179.48,-16.259337120967967,-16.220884096531766,-0.03845302443620113,214.67155613539296,1856.0,-1641.328443864607,2,3,0.46554914852071627,-54.559448819598956,-15.98896076808931,119.44965487276754,-343.44314120046556,228.47116069200206,3713.883348790456,83.33
,WIDENING TO 2LPS FROM 58/00 TO 116/10 OF NH-153B (NAKTIDEUL,Shoulder Configuration Of Nandakumar-Contai-Chan,Not reported,2018,2023-08-31,206.88,123.5,-16.13092366028059,-40.30355761794277,24.172633957662182,701.3616131686365,1978.0,-1276.6383868313635,2,3,0.4575123687163955,-53.930556123446905,-15.901708162693975,126.02203045494753,-370.24319414643514,258.73514315121076,3662.180268927258,83.33
,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (1A,Flexible Pavement On Khalghat To Sarwardewla Road,Not reported,2022,2023-09-30,167.95,84.16,-8.127397992741802,-49.889848169097945,41.76245017635614,519.865906570327,486.0,33.865906570326956,2,2,0.4856526971615528,-46.33502422116419,-14.634303746879496,131.11497826049862,-312.25896734955654,287.86552804356006,3680.458632547535,83.33
,CONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS WITH,Bot (Toll)(Ministry Of Road Transport And Highways (State,Not reported,2021,2023-09-30,264.5,215.21,-21.92254053098165,-18.635160680529296,-3.2873798504523535,440.57108980011935,943.0,-502.42891019988065,2,3,0.5315902908749812,-56.73693301017508,-17.468462502550903,103.76739019411642,-467.71559742034685,278.9601053170088,3286.4048079397944,83.33
,MANGAWA-MP/UP BORDER SECTION OF NH-27 (4L) IN MP,Road Transport And Highways,Not reported,2015,2023-09-30,410.72,392.45,-33.70331186624709,-4.448285936891322,-29.255025929355767,329.66514532265376,3104.0,-2774.3348546773464,2,3,0.5591585961016746,-71.99344018755193,-26.193448288184538,-6.5652281193591335,-404.6829727490804,357.79873531996276,910.4470564697774,83.33
,2-LANING FROM MANU-SIMLUNG ( PKG III),Madhapur) In The State Of Odisha            (Ministry Of Road,Not reported,2022,2023-11-30,347.36,224.48,-19.81765026920769,-35.37540304007371,15.557752770866017,533.6836187382733,698.0,-164.31638126172675,2,2,0.5152373068354885,-66.98700023923962,-18.80001274064872,91.69560823674601,-485.104914250907,287.25114494270167,3269.2259850297187,83.33
,KAILASHAHAR TO KHOWAI PKG-3,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,280.91,202.06,-21.91469081605279,-28.069488448257456,6.154797632204666,443.84033898651614,517.0,-73.15966101348386,2,2,0.5380083207718858,-56.542667043035465,-18.245526371109367,113.31561452313598,-474.60518815034885,281.4083284933785,3230.7132549869725,83.33
,KAILASHAHAR TO KHOWAI PKG-5,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,332.14,148.07,-20.976713521311225,-55.419401457216836,34.44268793590561,519.609438523747,517.0,2.6094385237470306,2,2,0.5293349440508612,-63.30043556113461,-19.230385227872482,98.594134308387,-480.3220483481509,284.85971199132365,3274.008850932475,83.33
,KHELLANI-KHANABAL PKG-6,Epc(National Highways And Infrastructure Development,Not reported,2022,2023-11-30,285.28,218.89,-21.40309281986113,-23.271873247335947,1.8687804274748174,443.84033898651614,455.0,-11.159661013483856,2,2,0.5573208187391769,-56.337938032976425,-18.245526371109367,119.11903431720178,-474.7251145688488,281.4083284933785,3228.1796943431964,83.33
,WIDENING TO 2LPS FROM 50/0 TO 140/9 OF NH-57 (SONEPUR TO,Highways And Infrastructure Development Corporation,Not reported,2017,2023-11-30,295.67,242.48,-19.31435006840072,-17.9896506240065,-1.32469944439422,384.1673137514669,2493.0,-2108.8326862485333,2,3,0.5575059698624522,-56.654677826040725,-18.352203837069503,125.87904896167151,-462.83004499025225,276.5709658451296,3220.886726893228,83.33
,DEVELOPMENT OF NELP BLOCK KG-ONN-2003/1 NAGAYALANKA,Petroleum,Not reported,2023,2023-12-31,284.79,258.16,-20.691425370602474,-9.350749675199268,-11.340675695403206,793.4645861727095,213.0,580.4645861727095,0,1,0.3336377824557312,-64.96923691343048,-15.177858948874373,7.591614846865667,-610.2674512559361,435.5075616002618,1557.1098727686597,83.33
,BALANCE WORK UNDER PHASE-I FOR 4L OF KHED SINNER SECTION,Epc(National Highways And Infrastructure Development,Not reported,2022,2024-02-29,169.83,207.89,-7.6334176547795884,22.410645940057687,-30.044063594837276,519.865906570327,516.0,3.865906570326956,2,2,0.4834980154936965,-46.33502422116419,-14.634303746879496,131.11497826049862,-321.83380258500864,286.7848241080556,3682.620040418544,83.33
,CATALYST MANUFACTURING UNIT OF 1500 MTPA CAPACITY AT,Petroleum,Not reported,2020,2024-02-29,206.63,284.95,-37.630229104949564,37.90349900788849,-75.53372811283805,524.8989939781676,1489.0,-964.1010060218324,0,3,0.3654585378609664,-59.70808078170076,-26.227438856837495,18.654305098275046,-204.07239898062664,263.55809550971736,1959.6060690420416,83.33
,CONST OF 152 QTRS 240 BOYS 240 GIRLS 150 NURSES HOSTEL,Health And Family Welfare,Not reported,2020,2024-02-29,195.0,179.67,-13.470885652428333,-7.861538461538468,-5.609347190889864,710.4343714865477,1276.0,-565.5656285134523,2,3,0.46788986172167935,-51.8759758352434,-15.73228926050735,127.70570885091146,-385.47389809563174,266.65297162104434,3614.9428309918685,83.33
,DEMBUEN - BRUNI,Highways And Infrastructure Development Corporation,Not reported,2023,2024-02-29,606.63,281.69,-5.24910299095475,-53.56477589304848,48.31567290209372,635.6878740491637,365.0,270.6878740491637,2,2,0.3050125304200832,-36.90575567888046,-8.819088418436785,35.83764250602973,-481.2653464446624,293.0139471077528,3971.6825643598045,83.33
,JIA BHARALI BRIDGE ALONG WITH ITS APPROACH ROAD,Epc(National Highways And Infrastructure Development,Not reported,2023,2024-02-29,804.0,575.92,-11.388774738973101,-28.368159203980102,16.979384465007,437.09880399513116,212.0,225.09880399513116,3,1,0.26790227969767344,-38.34304553145963,-8.946703593141235,33.95898690945657,-464.9093892116274,284.8254928030648,4030.6225580528526,83.33
,INSTALLATION OF SECOND CATALYTIC DEWAXING UNIT (CDW-II) AT,Petroleum,Not reported,2023,2024-03-31,1019.0,776.55,-17.201007008930652,-23.79293424926399,6.591927240333337,500.80957482782037,455.0,45.80957482782037,2,2,0.3679530135323663,-27.695345801001746,-9.080453161482545,13.507390327193782,-338.5952605410333,347.9463367514817,1283.5781883359277,83.33
,KARGIL-ZANSKR PACKAGE-5,Road Transport And Highways,Not reported,2023,2024-03-31,169.79,200.8,-24.393989974822375,18.26373755816009,-42.65772753298246,342.94383107590426,121.0,221.94383107590426,2,1,0.5430804001297658,-57.400365061751295,-21.50651463103606,4.328192257584149,-246.9064353599631,345.8580627422092,1316.608522113101,83.33
,REPLACEMENT OF EXISTING TWIN 42” OFFSHORE PIPELINES AT,Haldia Refinery                     (Indian Oil Corporation,Not reported,2022,2024-03-31,1378.0,1150.99,-10.616976323996079,-16.47387518142235,5.8568988574262715,816.6193494759553,486.0,330.61934947595535,3,2,0.31883133089540194,-45.521369620407704,-10.470946414829227,40.79333676198333,-392.5600325811381,245.22452316266137,4506.47425036667,83.33
